Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.ehealth.sundhed.fhir.ig.core.json	569734	-	1	0	0	0	0	0	21	109	0	0	0	0	0	0	0	4	0	0	2098	690	0	0	1	68	0	4
fsh-generated/resources/Appointment-appointment01.json	2852	4	0	0	0	0	0	0	1	119	0	0	0	0	0	0	0	0	0	0	37	26	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-appointment01.json	6154	5	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	0	0	0	60	39	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-videoappointment01.json	4586	8	1	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	48	27	0	0	0	0	0	0
fsh-generated/resources/Appointment-videoappointment01.json	3595	5	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	42	25	0	0	0	0	0	0
fsh-generated/resources/Organization-312.json	2420	4	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	29	15	0	0	0	0	0	1
fsh-generated/resources/Patient-291.json	651	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	21	14	0	0	0	0	0	0
fsh-generated/resources/Patient-patient01.json	1556	5	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	23	14	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-relatedperson01.json	1566	4	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	22	18	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionTrigger.json	5724	4	0	0	0	0	0	26	0	31	0	0	1	0	0	0	0	1	0	0	279	740	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionguidance-for.json	3698	7	1	0	0	0	0	13	0	11	0	0	0	0	0	0	0	1	0	0	165	329	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionguidance-type.json	1450	4	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	63	151	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionguidance.json	5525	5	0	0	0	0	0	47	0	13	0	0	0	0	0	0	0	1	0	0	228	364	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ehealth-activitydefinition.json	7397	4	0	0	0	0	0	213	0	17	0	0	0	0	0	0	0	3	0	0	457	942	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-ehealth-administrative-status.json	1601	4	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	64	146	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-answer-Condition.json	3399	5	0	0	0	0	0	12	0	22	0	0	0	0	0	0	0	1	0	0	211	262	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ehealth-appointment.json	9304	4	0	0	0	0	0	545	0	29	0	0	0	0	0	0	0	2	0	0	415	643	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-ehealth-assigning-careteam.json	1810	4	0	0	0	0	0	7	0	12	0	0	0	0	0	0	0	0	0	0	72	147	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-auditevent.json	528	4	0	0	0	0	0	36	0	15	0	0	0	0	0	0	0	2	0	0	305	719	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-ehealth-base-environment.json	1425	4	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	1	0	0	98	203	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-base.json	1314	4	0	0	0	0	0	7	0	8	0	0	0	0	0	0	0	0	0	0	98	199	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ehealth-basic-title.json	1272	4	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	60	131	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-careplan-statusHistory.json	2469	4	0	0	0	0	0	7	0	12	0	0	0	0	0	0	0	1	0	0	140	208	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ehealth-careplan-statusschedule.json	2642	3	0	0	0	0	0	10	0	9	0	0	0	0	0	0	0	0	0	0	144	205	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-careplan.json	11933	3	0	0	0	0	0	17	1	26	0	0	1	0	0	0	0	3	0	0	565	758	0	1	0	10	0	1
fsh-generated/resources/StructureDefinition-ehealth-careteam.json	4558	3	0	0	0	0	0	8	0	12	0	0	0	0	0	0	0	1	0	0	295	383	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-assessor-organization.json	1640	2	0	0	0	0	0	5	0	10	0	0	0	0	0	0	0	1	0	0	64	127	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-careplan.json	1621	3	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	64	139	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-decision.json	1556	3	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	65	122	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-decisionContext.json	1649	3	1	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	66	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-mediaInvestigationItem.json	1658	3	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	65	102	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-viewInvestigationItem.json	1649	3	0	0	1	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	67	108	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression.json	9769	3	0	0	0	0	0	8	0	18	0	0	0	0	0	0	0	2	0	0	418	338	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-ehealth-communication-recipientCareTeam.json	1599	3	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	63	110	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-ehealth-communication-request.json	2952	4	0	0	0	0	0	21	0	11	0	0	0	0	0	0	0	2	0	0	223	287	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ehealth-communication-senderCareTeam.json	1575	2	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	64	108	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-communication.json	6321	4	0	0	0	0	0	17	0	13	0	0	0	0	0	0	0	1	0	0	290	338	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ehealth-composition-authorOrganization.json	1630	3	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	65	111	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-composition.json	4928	3	0	0	0	0	0	28	0	19	0	0	0	0	0	0	0	2	0	0	391	389	0	1	0	6	0	1
fsh-generated/resources/StructureDefinition-ehealth-condition.json	4176	3	0	0	0	0	0	17	0	13	0	0	0	0	0	0	0	2	0	0	304	308	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ehealth-consent.json	2390	3	0	0	0	0	0	40	0	12	0	0	0	0	0	0	0	2	0	0	304	387	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ehealth-content.json	1866	3	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	74	114	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-creator.json	1402	3	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	62	108	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-definedquestion.json	579	3	0	0	0	0	0	26	0	10	0	0	1	0	0	0	0	2	0	0	296	459	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ehealth-description.json	1256	3	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	63	105	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-device-privatelyOwned.json	1409	3	1	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	62	112	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-device-suppliers.json	3210	3	0	0	0	0	0	6	1	9	0	0	0	0	0	0	0	1	0	0	147	158	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-device.json	3457	3	0	0	0	0	0	10	0	15	0	0	0	0	0	0	0	2	0	0	363	539	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ehealth-devicemetric-calibrationExpires.json	1446	3	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	63	106	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-ehealth-devicemetric-properties.json	3490	3	0	0	0	0	0	6	0	11	0	0	0	0	0	0	0	1	0	0	208	158	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ehealth-devicemetric-qualities.json	2781	3	0	0	0	0	0	5	0	10	0	0	0	0	0	0	0	0	0	0	160	151	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-devicemetric-qualityHistory.json	4101	3	0	0	0	0	0	6	0	12	0	0	0	0	0	0	0	1	0	0	233	209	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-devicemetric-templateQualities.json	2972	3	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	160	172	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-devicemetric.json	4210	3	0	0	0	0	0	6	0	11	0	0	0	0	0	0	0	1	0	0	226	221	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ehealth-deviceusestatement-context.json	1565	3	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	93	100	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-deviceusestatement.json	3761	3	0	0	0	0	0	12	0	12	0	0	0	0	0	0	0	1	0	0	208	154	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-documentreference.json	4984	3	0	0	0	0	0	9	0	15	0	0	0	0	0	0	0	1	0	1	341	200	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ehealth-employee-title.json	1263	3	1	0	0	0	0	5	0	7	0	0	0	0	0	0	0	1	0	0	62	71	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-enableBehavior-conditionId.json	1301	3	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	63	89	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-end-meeting-on-end-time.json	1378	3	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	62	174	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-episodeofcare-caremanagerOrganization.json	1627	3	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	65	101	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-episodeofcare-statusschedule.json	2727	3	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	143	115	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ehealth-episodeofcare.json	4560	3	0	0	0	0	0	7	0	13	0	0	1	0	0	0	0	1	0	0	251	192	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-ext-careteam.json	1399	3	0	0	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0	0	63	76	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-external-identifier.json	1424	2	1	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	62	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-general-health-condition.json	2945	3	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	145	100	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-goal.json	2873	3	0	0	0	0	0	7	0	10	0	0	0	0	0	0	0	1	0	0	209	171	0	1	0	3	0	1
fsh-generated/resources/StructureDefinition-ehealth-group-appointment.json	11683	4	0	0	0	0	0	23	0	18	0	0	0	0	0	0	0	2	0	0	467	232	0	0	0	7	1	1
fsh-generated/resources/StructureDefinition-ehealth-group-id.json	1521	3	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	63	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-group-videoappointment.json	14433	3	0	0	0	0	0	31	0	20	0	0	0	0	0	0	0	2	0	0	540	256	0	1	0	7	0	1
fsh-generated/resources/StructureDefinition-ehealth-guest-pin-code.json	1449	3	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	1	0	0	64	148	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-guidanceresponse-episodeOfCare.json	1431	3	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	63	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-guidanceresponse.json	2951	3	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	166	124	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-host-pin-code.json	1548	3	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	1	0	0	62	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-intendedAudience.json	1739	2	1	0	0	0	0	6	1	7	0	0	0	0	0	0	0	0	0	0	64	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-itcompetencelevel.json	3261	3	0	0	0	0	0	7	0	10	0	0	1	0	0	0	0	0	0	0	182	105	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-legalBasis.json	1340	3	0	0	0	0	0	4	0	8	0	0	0	0	0	0	0	1	0	0	63	69	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-library.json	2810	3	0	0	0	0	0	9	0	13	0	0	0	0	0	0	0	1	0	0	263	182	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ehealth-max-participants.json	1424	3	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	62	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-media.json	5333	3	0	0	0	0	0	9	0	13	0	0	0	0	0	0	0	1	0	0	307	196	0	1	0	5	0	1
fsh-generated/resources/StructureDefinition-ehealth-meeting-url.json	1410	3	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	63	69	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-message.json	14477	3	0	0	0	0	0	34	0	20	0	0	0	0	0	0	0	1	0	0	577	265	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-ehealth-modifier-role.json	3089	3	0	0	0	0	0	6	0	9	0	0	0	0	0	0	0	1	0	0	148	134	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-nameandaddressprotection.json	1643	3	1	0	0	0	0	4	0	8	0	0	1	0	0	0	0	0	0	0	63	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-observation.json	5505	68	0	0	0	0	0	11	0	16	0	0	0	0	0	0	0	1	0	0	415	312	0	1	0	6	1	1
