URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://ehealth.sundhed.dk/cs/action,3.1.0,active,,Action,Action,"Action Code","ValueSet/ehealth-action"
http://ehealth.sundhed.dk/cs/action-guidance-types,3.1.0,active,,ActionGuidanceType,Action guidance types,"Action guidance types","ValueSet/ehealth-action-guidance-types"
http://ehealth.sundhed.dk/cs/activitydefinition-code,3.1.0,active,,ActivityDefinitionCodes,null,"Kinds of activities","ConceptMap/activitydefinition-code-to-do-missing-measurement,ConceptMap/activitydefinition-code-to-measurement-resource-type,ValueSet/ehealth-activitydefinition-code,ConceptMap/activitydefinition-code-to-perform-sharing,ConceptMap/activitydefinition-code-to-do-reminder"
http://ehealth.sundhed.dk/cs/administrative-status,3.1.0,active,,AdministrativeStatus,Administrative Status,"Administrative status","ValueSet/administrative-status"
http://ehealth.sundhed.dk/cs/appointment-reason,3.1.0,active,,AppointmentReason,Appointment Reason,"Appointment Reason","ValueSet/ehealth-appointment-reason"
http://ehealth.sundhed.dk/cs/appointment-servicetype,3.1.0,active,,AppointmentServiceTypes,Appointment Service Types,"Appointment service type","ValueSet/ehealth-appointment-servicetype"
http://ehealth.sundhed.dk/cs/appointmenttype-codes,3.1.0,active,,AppointmentTypeCodes,Appointment Type Codes,"Appointment type code","ValueSet/appointmenttype-codes"
http://ehealth.sundhed.dk/cs/basic-resource-type,3.1.0,active,,BasicResourceType,Basic resource type,"Basic resource type","ValueSet/ehealth-basic-resource-type"
http://ehealth.sundhed.dk/cs/careplan-category,3.1.0,active,,CarePlanCategory,CarePlan Category,"Care Plan Category","ValueSet/ehealth-careplan-category"
http://ehealth.sundhed.dk/cs/careteam-category,3.1.0,active,,CareTeamCategory,CareTeam Category,"Care Team Category","ValueSet/ehealth-careteam-category"
http://ehealth.sundhed.dk/cs/careteam-participant-role,3.1.0,active,,CareTeamParticipantRole,CareTeam Participant Role,"Care Team Participant Role","ConceptMap/oio-bpp-roles-to-careteam-participant-roles,ValueSet/ehealth-careteam-participant-role"
http://ehealth.sundhed.dk/cs/clinicalimpression-codes,3.1.0,active,,ClinicalImpressionCodes,ClinicalImpression Codes,"Assessment types","ValueSet/ehealth-clinicalimpression-codes"
http://ehealth.sundhed.dk/cs/clinicalimpression-decision-codes,3.1.0,active,,ClinicalImpressionDecisionCodes,ClinicalImpression Decision Codes,"Clinical Impression Decision Codes","ValueSet/ehealth-clinicalimpression-decision-codes"
http://ehealth.sundhed.dk/cs/clinicalimpression-finding-codes,3.1.0,active,,ClinicalImpressionFindingCodes,ClinicalImpression Finding Codes,"Clinical Impression Finding Codes","ValueSet/ehealth-clinicalimpression-finding-codes"
http://ehealth.sundhed.dk/cs/communication-category,3.1.0,active,,CommunicationCategory,Communication Category,"Communication category","ValueSet/ehealth-communication-category"
http://ehealth.sundhed.dk/cs/consent-category,3.1.0,active,,ConsentCategory,Consent Category,"Consent codes","ValueSet/ehealth-consent-category"
http://ehealth.sundhed.dk/cs/contactpoint-custodian,3.1.0,active,,ContactPointCustodian,ContactPoint Custodian,"Contact Point Custodian","ValueSet/ehealth-contactpoint-custodian"
http://ehealth.sundhed.dk/cs/contactpoint-system,3.1.0,active,,ContactPointSystem,ContactPoint System,"Contact Point System","ValueSet/ehealth-contactpoint-system"
http://ehealth.sundhed.dk/cs/device-calibration-actor,3.1.0,active,,DeviceCalibrationActor,Device calibration actor,"Device calibration actor.","ValueSet/ehealth-device-calibration-actor"
http://ehealth.sundhed.dk/cs/device-calibration-period,3.1.0,active,,DeviceCalibrationPeriod,Device calibration period,"Device calibration period.","ValueSet/ehealth-device-calibration-period"
http://ehealth.sundhed.dk/cs/device-measuring-quality,3.1.0,active,,DeviceMeasuringQuality,Device Measuring Quality,"Quality codes for qualities with which a device can perform measuring","ValueSet/ehealth-device-measuring-quality"
http://ehealth.sundhed.dk/cs/device-safety,3.1.0,active,,DeviceSafety,Device safety,"Device safety","ValueSet/ehealth-device-safety"
http://ehealth.sundhed.dk/cs/device-service-types,3.1.0,active,,DeviceServiceTypes,Device service types,"Device service types.","ValueSet/ehealth-device-service-types"
http://ehealth.sundhed.dk/cs/device-supplier-roles,3.1.0,active,,DeviceSupplierRoles,Device Supplier Roles,"Types of device related services.","ValueSet/ehealth-device-supplier-roles"
http://ehealth.sundhed.dk/cs/device-use-reason,3.1.0,active,,DeviceUseReason,Device Use Reason,"Device use reasons.","ValueSet/ehealth-device-use-reason"
http://ehealth.sundhed.dk/cs/devicemetric-property-types,3.1.0,active,,DeviceMetricPropertyTypes,DeviceMetric Property Types,"Types of properties which can be attributed to a Device.","ValueSet/ehealth-devicemetric-property-types"
http://ehealth.sundhed.dk/cs/devicemetric-quality-types,3.1.0,active,,DeviceMetricQualityTypes,DeviceMetric Quality Types,"Device metric quality type codes","ValueSet/ehealth-devicemetric-quality-types"
http://ehealth.sundhed.dk/cs/ehealth-provenance-policies,3.1.0,active,,Policies for provenances,Policies for provenances,"Policies under which data can be provided","ValueSet/ehealth-provenance-policies"
http://ehealth.sundhed.dk/cs/ehealth-ucum-printsymbol-supplement,3.1.0,active,,UCUMPrintSymbolSupplement,UCUM printSymbol supplement,"UCUM printSymbol supplement","ValueSet/ehealth-ucum-printsymbol-supplement,ConceptMap/conceptmap-ucum-to-printsymbol"
http://ehealth.sundhed.dk/cs/ehealth-unit-code,3.1.0,active,,eHealthUnitCodes,null,"Unit Codes","ValueSet/ehealth-unit-code,ConceptMap/conceptmap-ucum-to-printsymbol,ConceptMap/conceptmap-obs-code-to-ucum"
http://ehealth.sundhed.dk/cs/ehealth-usage-context-type,3.1.0,active,,eHealthUsageContextType,eHealth Usage Contxt Type,"Usage Context type","ValueSet/ehealth-usage-context-type"
http://ehealth.sundhed.dk/cs/fs3-health-communication,3.1.0,active,,FS III, Kommunikation,FS III, Kommunikation,"FS III, Kommunikation","ValueSet/fs3-health"
http://ehealth.sundhed.dk/cs/fs3-health-excretion-of-waste-materials,3.1.0,active,,FS III, Udskillelse af affaldsstoffer,FS III, Udskillelse af affaldsstoffer,"FS III, Udskillelse af affaldsstoffer","ValueSet/fs3-health"
http://ehealth.sundhed.dk/cs/fs3-health-function-level,3.1.0,active,,FS III, Funktionsniveau,FS III, Funktionsniveau,"FS III, Funktionsniveau","ValueSet/fs3-health"
