Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.ehealth.sundhed.fhir.ig.core.json	558522	-	0	0	0	0	0	0	13	76	0	0	0	0	0	0	0	4	0	0	2131	454	0	0	0	44	0	4
fsh-generated/resources/Appointment-appointment01.json	2852	4	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	23	21	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-appointment01.json	6154	5	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	44	21	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-videoappointment01.json	4586	3	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	40	15	0	0	0	0	0	0
fsh-generated/resources/Appointment-videoappointment01.json	3595	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	34	13	0	0	0	0	0	0
fsh-generated/resources/Organization-312.json	2420	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	23	12	0	0	0	0	0	0
fsh-generated/resources/Patient-291.json	651	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0
fsh-generated/resources/Patient-patient01.json	1556	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-relatedperson01.json	1566	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionTrigger.json	5724	2	1	0	0	0	0	29	0	68	0	0	0	0	0	0	0	1	0	0	295	1840	0	0	0	5	0	0
