URL,Version,Status,OIDs,Name,Title,Description,Used
http://ehealth.sundhed.dk/cs/action,6.0.2,active,,Action,Action,"Action Code",
http://ehealth.sundhed.dk/cs/action-guidance-types,6.0.2,active,,ActionGuidanceType,Action guidance types,"Action guidance types",
http://ehealth.sundhed.dk/cs/action-type,6.0.2,active,,ActionType,Action Type,"Action type",
http://ehealth.sundhed.dk/cs/activitydefinition-code,6.0.2,active,,ActivityDefinitionCodes,Activity Definition Codes,"Kinds of activities",
http://ehealth.sundhed.dk/cs/administrative-status,6.0.2,active,,AdministrativeStatus,Administrative Status,"Administrative status",
http://ehealth.sundhed.dk/cs/appointment-reason,6.0.2,active,,AppointmentReason,Appointment Reason,"Appointment Reason",
http://ehealth.sundhed.dk/cs/appointment-servicetype,6.0.2,active,,AppointmentServiceTypes,Appointment Service Types,"Appointment service type",
http://ehealth.sundhed.dk/cs/appointmenttype-codes,6.0.2,active,,AppointmentTypeCodes,Appointment Type Codes,"Appointment type code",
http://ehealth.sundhed.dk/cs/audit-restriction-levels,6.0.2,active,,auditRestrictionLevels,Audit Restriction Levels,"Audit Event Restriction Levels used to indicate whether the audit log should be hidden from the citizen and/or the legal guardian when interacting with the infrastructure.",
http://ehealth.sundhed.dk/cs/basic-resource-type,6.0.2,active,,BasicResourceType,Basic resource type,"Basic resource type",
http://ehealth.sundhed.dk/cs/careplan-category,6.0.2,active,,CarePlanCategory,CarePlan Category,"Care Plan Category",
http://ehealth.sundhed.dk/cs/careteam-category,6.0.2,active,,CareTeamCategory,CareTeam Category,"Care Team Category",
http://ehealth.sundhed.dk/cs/careteam-participant-role,6.0.2,active,,CareTeamParticipantRole,CareTeam Participant Role,"Care Team Participant Role",
http://ehealth.sundhed.dk/cs/clinicalimpression-codes,6.0.2,active,,ClinicalImpressionCodes,ClinicalImpression Codes,"Assessment types",
http://ehealth.sundhed.dk/cs/clinicalimpression-decision-codes,6.0.2,active,,ClinicalImpressionDecisionCodes,ClinicalImpression Decision Codes,"Clinical Impression Decision Codes",
http://ehealth.sundhed.dk/cs/clinicalimpression-decision-support-codes,6.0.2,active,,ClinicalImpressionDecisionSupportCodes,ClinicalImpression Decision Support Codes,"Decision support codes",
http://ehealth.sundhed.dk/cs/clinicalimpression-finding-codes,6.0.2,active,,ClinicalImpressionFindingCodes,ClinicalImpression Finding Codes,"Clinical Impression Finding Codes",
http://ehealth.sundhed.dk/cs/clinicalimpression-investigation-item-codes,6.0.2,active,,ClinicalImpressionInvestigationItemCodes,ClinicalImpression Investigation Item Codes,"Clinical Impression Investigation Item Codes",
http://ehealth.sundhed.dk/cs/communication-category,6.0.2,active,,CommunicationCategory,Communication Category,"Communication category",
http://ehealth.sundhed.dk/cs/conditions,6.0.2,active,,Conditions,Conditions,"Condition codes",
http://ehealth.sundhed.dk/cs/consent-category,6.0.2,active,,ConsentCategory,Consent Category,"Consent codes",
http://ehealth.sundhed.dk/cs/contactpoint-custodian,6.0.2,active,,ContactPointCustodian,ContactPoint Custodian,"Contact Point Custodian",
http://ehealth.sundhed.dk/cs/contactpoint-system,6.0.2,active,,ContactPointSystem,ContactPoint System,"Contact Point System",
http://ehealth.sundhed.dk/cs/device-calibration-actor,6.0.2,active,,DeviceCalibrationActor,Device calibration actor,"Device calibration actor.",
http://ehealth.sundhed.dk/cs/device-calibration-period,6.0.2,active,,DeviceCalibrationPeriod,Device calibration period,"Device calibration period.",
http://ehealth.sundhed.dk/cs/device-measuring-quality,6.0.2,active,,DeviceMeasuringQuality,Device Measuring Quality,"Quality codes for qualities with which a device can perform measuring",
http://ehealth.sundhed.dk/cs/device-safety,6.0.2,active,,DeviceSafety,Device safety,"Device safety",
http://ehealth.sundhed.dk/cs/device-service-types,6.0.2,active,,DeviceServiceTypes,Device service types,"Device service types.",
http://ehealth.sundhed.dk/cs/device-supplier-roles,6.0.2,active,,DeviceSupplierRoles,Device Supplier Roles,"Types of device related services.",
http://ehealth.sundhed.dk/cs/device-types,6.0.2,active,,DeviceTypes,Device Types,"Types of devices.",
http://ehealth.sundhed.dk/cs/device-use-reason,6.0.2,active,,DeviceUseReason,Device Use Reason,"Device use reasons.",
http://ehealth.sundhed.dk/cs/devicemetric-property-types,6.0.2,active,,DeviceMetricPropertyTypes,DeviceMetric Property Types,"Types of properties which can be attributed to a Device.",
http://ehealth.sundhed.dk/cs/devicemetric-quality-types,6.0.2,active,,DeviceMetricQualityTypes,DeviceMetric Quality Types,"Device metric quality type codes",
