URL,Version,Status,OIDs,Name,Title,Description,Used
http://dicom.nema.org/resources/ontology/DCM,01,active,"1.2.840.10008.2.16.4",DICOM Controlled Terminology Definitions,,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version ""01"")","ValueSet/participation-role-type,ValueSet/dicm-405-mediatype,ValueSet/audit-event-sub-type,ValueSet/audit-event-type,ValueSet/security-role-type"
http://ehealth.sundhed.dk/cs/action,4.0.1,active,,Action,Action,"Action Code","ValueSet/ehealth-action"
http://ehealth.sundhed.dk/cs/action-guidance-types,4.0.1,active,,ActionGuidanceType,Action guidance types,"Action guidance types","ValueSet/ehealth-action-guidance-types"
http://ehealth.sundhed.dk/cs/activitydefinition-code,4.0.1,active,,ActivityDefinitionCodes,Activity Definition Codes,"Kinds of activities","ConceptMap/activitydefinition-code-to-do-missing-measurement,ConceptMap/activitydefinition-code-to-measurement-resource-type,ValueSet/ehealth-activitydefinition-code,ConceptMap/activitydefinition-code-to-perform-sharing,ConceptMap/activitydefinition-code-to-do-reminder"
http://ehealth.sundhed.dk/cs/administrative-status,4.0.1,active,,AdministrativeStatus,Administrative Status,"Administrative status","ValueSet/administrative-status"
http://ehealth.sundhed.dk/cs/appointment-reason,4.0.1,active,,AppointmentReason,Appointment Reason,"Appointment Reason","ValueSet/ehealth-appointment-reason"
http://ehealth.sundhed.dk/cs/appointment-servicetype,4.0.1,active,,AppointmentServiceTypes,Appointment Service Types,"Appointment service type","ValueSet/ehealth-appointment-servicetype"
http://ehealth.sundhed.dk/cs/appointmenttype-codes,4.0.1,active,,AppointmentTypeCodes,Appointment Type Codes,"Appointment type code","ValueSet/appointmenttype-codes"
http://ehealth.sundhed.dk/cs/audit-restriction-levels,4.0.1,active,,auditRestrictionLevels,Audit Restriction Levels,"Audit Event Restriction Levels used to indicate whether the audit log should be hidden from the citizen and/or the legal guardian when interacting with the infrastructure.","ValueSet/ehealth-audit-restriction-levels"
http://ehealth.sundhed.dk/cs/basic-resource-type,4.0.1,active,,BasicResourceType,Basic resource type,"Basic resource type","ValueSet/ehealth-basic-resource-type"
http://ehealth.sundhed.dk/cs/careplan-category,4.0.1,active,,CarePlanCategory,CarePlan Category,"Care Plan Category","ValueSet/ehealth-careplan-category"
http://ehealth.sundhed.dk/cs/careteam-category,4.0.1,active,,CareTeamCategory,CareTeam Category,"Care Team Category","ValueSet/ehealth-careteam-category"
http://ehealth.sundhed.dk/cs/careteam-participant-role,4.0.1,active,,CareTeamParticipantRole,CareTeam Participant Role,"Care Team Participant Role","ConceptMap/oio-bpp-roles-to-careteam-participant-roles,ValueSet/ehealth-careteam-participant-role"
http://ehealth.sundhed.dk/cs/clinicalimpression-codes,4.0.1,active,,ClinicalImpressionCodes,ClinicalImpression Codes,"Assessment types","ValueSet/ehealth-clinicalimpression-codes"
http://ehealth.sundhed.dk/cs/clinicalimpression-decision-codes,4.0.1,active,,ClinicalImpressionDecisionCodes,ClinicalImpression Decision Codes,"Clinical Impression Decision Codes","ValueSet/ehealth-clinicalimpression-decision-codes"
http://ehealth.sundhed.dk/cs/clinicalimpression-finding-codes,4.0.1,active,,ClinicalImpressionFindingCodes,ClinicalImpression Finding Codes,"Clinical Impression Finding Codes","ValueSet/ehealth-clinicalimpression-finding-codes"
http://ehealth.sundhed.dk/cs/clinicalimpression-investigation-item-codes,4.0.1,active,,ClinicalImpressionInvestigationItemCodes,ClinicalImpression Investigation Item Codes,"Clinical Impression Investigation Item Codes","ValueSet/ehealth-clinicalimpression-investigation-item-codes"
http://ehealth.sundhed.dk/cs/communication-category,4.0.1,active,,CommunicationCategory,Communication Category,"Communication category","ValueSet/ehealth-communication-category"
http://ehealth.sundhed.dk/cs/consent-category,4.0.1,active,,ConsentCategory,Consent Category,"Consent codes","ValueSet/ehealth-consent-category"
http://ehealth.sundhed.dk/cs/contactpoint-custodian,4.0.1,active,,ContactPointCustodian,ContactPoint Custodian,"Contact Point Custodian","ValueSet/ehealth-contactpoint-custodian"
http://ehealth.sundhed.dk/cs/contactpoint-system,4.0.1,active,,ContactPointSystem,ContactPoint System,"Contact Point System","ValueSet/ehealth-contactpoint-system"
http://ehealth.sundhed.dk/cs/device-calibration-actor,4.0.1,active,,DeviceCalibrationActor,Device calibration actor,"Device calibration actor.","ValueSet/ehealth-device-calibration-actor"
http://ehealth.sundhed.dk/cs/device-calibration-period,4.0.1,active,,DeviceCalibrationPeriod,Device calibration period,"Device calibration period.","ValueSet/ehealth-device-calibration-period"
http://ehealth.sundhed.dk/cs/device-measuring-quality,4.0.1,active,,DeviceMeasuringQuality,Device Measuring Quality,"Quality codes for qualities with which a device can perform measuring","ValueSet/ehealth-device-measuring-quality"
http://ehealth.sundhed.dk/cs/device-safety,4.0.1,active,,DeviceSafety,Device safety,"Device safety","ValueSet/ehealth-device-safety"
http://ehealth.sundhed.dk/cs/device-service-types,4.0.1,active,,DeviceServiceTypes,Device service types,"Device service types.","ValueSet/ehealth-device-service-types"
http://ehealth.sundhed.dk/cs/device-supplier-roles,4.0.1,active,,DeviceSupplierRoles,Device Supplier Roles,"Types of device related services.","ValueSet/ehealth-device-supplier-roles"
http://ehealth.sundhed.dk/cs/device-use-reason,4.0.1,active,,DeviceUseReason,Device Use Reason,"Device use reasons.","ValueSet/ehealth-device-use-reason"
http://ehealth.sundhed.dk/cs/devicemetric-property-types,4.0.1,active,,DeviceMetricPropertyTypes,DeviceMetric Property Types,"Types of properties which can be attributed to a Device.","ValueSet/ehealth-devicemetric-property-types"
http://ehealth.sundhed.dk/cs/devicemetric-quality-types,4.0.1,active,,DeviceMetricQualityTypes,DeviceMetric Quality Types,"Device metric quality type codes","ValueSet/ehealth-devicemetric-quality-types"
http://ehealth.sundhed.dk/cs/document-sharing-state,4.0.1,active,,DocumentSharingState,Document Sharing State,"Document Sharing State","ValueSet/document-sharing-state"
http://ehealth.sundhed.dk/cs/ehealth-designation-use,4.0.1,active,,eHealthDesignationUse,eHealth Designation Use,"Codes used to identify/describe designation use.","ValueSet/ehealth-designation-use"
http://ehealth.sundhed.dk/cs/ehealth-program,4.0.1,active,,eHealthProgram,eHealth Program,"Codes for programs or projects using the eHealth Infrastructure and wanting to mark various resources as intended for their non-exclusive use.","ValueSet/ehealth-program"
http://ehealth.sundhed.dk/cs/ehealth-property,4.0.1,active,,eHealthProperty,eHealth Property,"Codes used to identity specific properties on codes in eHealth CodeSystems.","ValueSet/ehealth-property"
http://ehealth.sundhed.dk/cs/ehealth-provenance-policies,4.0.1,active,,Policies for provenances,Policies for provenances,"Policies under which data can be provided","ValueSet/ehealth-provenance-policies"
http://ehealth.sundhed.dk/cs/ehealth-ucum-printsymbol-supplement,4.0.1,active,,UCUMPrintSymbolSupplement,UCUM printSymbol supplement,"UCUM printSymbol supplement","ValueSet/ehealth-ucum-printsymbol-supplement,ConceptMap/conceptmap-ucum-to-printsymbol"
http://ehealth.sundhed.dk/cs/ehealth-unit-code,4.0.1,active,,eHealthUnitCodes,eHealth Unit Codes,"Unit Codes","ValueSet/ehealth-unit-code,ConceptMap/conceptmap-ucum-to-printsymbol,ConceptMap/conceptmap-obs-code-to-ucum"
http://ehealth.sundhed.dk/cs/ehealth-usage-context-type,4.0.1,active,,eHealthUsageContextType,eHealth Usage Contxt Type,"Usage Context type","ValueSet/ehealth-usage-context-type"
http://ehealth.sundhed.dk/cs/fs3-health-communication,4.0.1,active,,FS III, Kommunikation,FS III, Kommunikation,"FS III, Kommunikation","ValueSet/fs3-health"
http://ehealth.sundhed.dk/cs/fs3-health-excretion-of-waste-materials,4.0.1,active,,FS III, Udskillelse af affaldsstoffer,FS III, Udskillelse af affaldsstoffer,"FS III, Udskillelse af affaldsstoffer","ValueSet/fs3-health"
http://ehealth.sundhed.dk/cs/fs3-health-function-level,4.0.1,active,,FS III, Funktionsniveau,FS III, Funktionsniveau,"FS III, Funktionsniveau","ValueSet/fs3-health"
