Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.ehealth.sundhed.fhir.ig.core.json	590652	-	0	0	0	0	0	0	9	155	0	0	0	0	0	0	0	3	0	0	1360	543	0	0	0	41	0	8
fsh-generated/resources/Appointment-appointment01.json	2852	3	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	1	0	0	18	23	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-appointment01.json	6154	7	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	29	33	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-videoappointment01.json	4586	3	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	24	29	0	0	0	0	0	0
fsh-generated/resources/Appointment-videoappointment01.json	3595	3	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	21	21	0	0	0	0	0	1
fsh-generated/resources/Organization-312.json	2420	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	0	0	0
fsh-generated/resources/Patient-291.json	651	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
fsh-generated/resources/Patient-patient01.json	1556	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-relatedperson01.json	1566	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionTrigger.json	5724	2	0	26	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	159	276	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionguidance-for.json	3698	3	0	13	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	102	216	0	0	0	2	1	1
fsh-generated/resources/StructureDefinition-ehealth-actionguidance-type.json	1450	2	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	42	162	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionguidance.json	5525	5	0	51	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	138	308	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-activitydefinition.json	7397	2	0	112	0	0	1	0	0	15	0	0	0	0	0	0	0	2	0	0	272	394	0	0	0	6	0	2
fsh-generated/resources/StructureDefinition-ehealth-administrative-status.json	1601	3	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	43	109	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-answer-Condition.json	3399	2	0	13	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	128	169	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-appointment.json	9304	3	0	504	1	0	0	0	0	18	0	0	1	0	0	0	0	2	0	0	251	309	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-ehealth-assigning-careteam.json	1810	3	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	46	117	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-auditevent.json	528	2	0	21	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	185	315	0	0	0	4	0	2
fsh-generated/resources/StructureDefinition-ehealth-base-environment.json	1425	3	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	62	126	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-base.json	1314	2	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	64	123	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-basic-title.json	1272	3	0	3	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	40	93	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-careplan-statusHistory.json	2469	2	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	88	128	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ehealth-careplan-statusschedule.json	2642	2	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	88	127	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-careplan.json	12321	3	0	11	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	345	348	0	0	0	8	1	2
fsh-generated/resources/StructureDefinition-ehealth-careteam.json	5248	3	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	187	147	0	1	0	4	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-assessor-organization.json	1640	2	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	42	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-assessor-other.json	1706	2	0	3	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	44	93	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-careplan.json	1621	2	0	3	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	43	180	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-decision.json	1556	3	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	41	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-decisionContext.json	1649	2	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	43	76	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-mediaInvestigationItem.json	1658	2	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	42	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-viewInvestigationItem.json	1649	3	0	3	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	44	68	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression.json	10203	3	0	7	0	0	0	0	0	21	0	0	0	0	0	0	0	2	0	0	254	180	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-ehealth-communication-recipientCareTeam.json	1599	2	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	42	68	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-communication-request.json	2952	2	0	13	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	137	141	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-ehealth-communication-senderCareTeam.json	1575	3	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	42	76	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-communication.json	6321	2	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	176	215	0	1	0	4	0	1
fsh-generated/resources/StructureDefinition-ehealth-composition-authorOrganization.json	1630	2	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	42	64	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-composition.json	4928	3	0	20	0	0	0	0	0	15	0	0	1	0	0	0	0	1	0	0	237	223	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-ehealth-condition.json	4176	2	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	184	240	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ehealth-consent.json	2390	2	0	29	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	186	347	0	1	0	4	0	1
fsh-generated/resources/StructureDefinition-ehealth-content.json	1866	3	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	48	98	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-creator.json	1402	3	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	41	91	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-definedquestion.json	579	2	0	18	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	181	275	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ehealth-description.json	1256	2	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	41	91	0	0	1	1	0	0
